algorithm,model,round,rmse,mae,r2
FedAvg,Residual,17,0.5357314243886421,0.4687126497026068,-114111.41272599166
FedAvg,Residual,18,0.5330483265472025,0.466663372485206,-112863.14618438829
FedAvg,Residual,19,0.53075982187728,0.4649194794427112,-111944.54288795836
FedAvg,Residual,20,0.5282508575074876,0.4629558442661339,-110675.42418916363
FedAvg,Residual,21,0.5260903218019154,0.4612852401756444,-109497.00330738442
FedAvg,Residual,22,0.523613788227203,0.4593372215862223,-108031.53165129072
FedAvg,Residual,23,0.5212860500683557,0.457466692950164,-106579.44909770376
FedAvg,Residual,24,0.5188734512300046,0.4555252595609856,-105365.07019042216
FedAvg,Residual,25,0.5166961994442603,0.453805133399205,-104266.49036028516
FedAvg,Dual,1,0.3236804288843743,0.2907784280018563,-8248.759195207083
FedAvg,Dual,2,0.3250323570120399,0.2886854506413631,-11916.881577473325
FedAvg,Dual,3,0.3447496705517731,0.3032064606780955,-16184.9436933018
FedAvg,Dual,4,0.3579672036963278,0.3137716706482094,-20292.678505555607
FedAvg,Dual,5,0.3668955098701456,0.3212260119682456,-23708.3454660238
FedAvg,Dual,6,0.3737001065330877,0.3272051200506348,-26442.6824508962
FedAvg,Dual,7,0.3792542049773543,0.3321281901457607,-28662.07360025617
FedAvg,Dual,8,0.3838941813036362,0.3360790578101766,-30583.12870570017
FedAvg,Dual,9,0.3878081600263527,0.3395053751386951,-32343.56236092948
FedAvg,Dual,10,0.3910849396419417,0.3424384822587766,-33837.926456147216
FedAvg,Dual,11,0.3938023254617659,0.3449014205033833,-35118.13510494199
FedAvg,Dual,12,0.3960329674694705,0.3469101229325749,-36249.18934123839
FedAvg,Dual,13,0.3976268270259806,0.3483670076555024,-37295.82870581448
FedAvg,Dual,14,0.3987643068319255,0.3494178429638774,-38244.53875105327
FedAvg,Dual,15,0.3995426941009228,0.3501230656367404,-39097.808449224765
FedAvg,Dual,16,0.3999921692168471,0.3505363708430727,-39824.64868938566
FedAvg,Dual,17,0.4000339991671752,0.3506317110650359,-40458.800064522686
FedAvg,Dual,18,0.3999301040079454,0.3506094879865227,-41004.00302711061
FedAvg,Dual,19,0.3997466167307149,0.3505127051802637,-41485.77331180774
